Reference, Value, Footprint, Datasheet, Availability, Description, MF, Package, Price, MP
"J4","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J6","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J1","227161-1","BNC_P7003:TE_227161-1","227161-1","Good","BNC Series 50 Ohm Right Angle Through Hole Jack Female Socket Connector","TE Connectivity / AMP","None","2.39 USD",""
"U1","CA3140AMZ","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","CA3140AMZ","Good","CA140 Series 4.5 MHz 9 V/us 36 V BiMOS Operational Amplifier - SOIC-8","Intersil","SOIC-8 Intersil","1.59 USD",""
"U3","TL081BCD","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","Texas Instruments","Good","JFET-Input Operational Amplifier 8-SOIC 0 to 70","","SOIC-8 Texas Instruments","0.59 USD","TL081BCD"
"U2","ICL7660AIBAZA","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","ICL7660AIBAZA","Good","ICL7660 Series 1.5 - 12 Vin 45 mA 10 kHz CMOS Voltage Converter - SOIC-8","Intersil","SOIC-8 Intersil","1.20 USD",""
"RV1","5k","Potentiometers:Potentiometer_Trimmer_Bourns_3296W",""
"R1","4,7M","Resistors_SMD:R_0603_HandSoldering",""
"C1","2,2nF","Capacitors_SMD:C_0603_HandSoldering",""
"C2","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C4","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"C6","1uF","Capacitors_SMD:C_0603_HandSoldering",""
"R3","2,2k","Resistors_SMD:R_0603_HandSoldering",""
"R2","1k","Resistors_SMD:R_0603_HandSoldering",""
"C5","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C3","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"R4","30k","Resistors_SMD:R_0603_HandSoldering",""
"R5","75k","Resistors_SMD:R_0603_HandSoldering",""
"R6","30k","Resistors_SMD:R_0603_HandSoldering",""
"C10","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C8","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"C11","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C9","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"D1","LED","LEDs:LED_0603_HandSoldering",""
"R8","1k","Resistors_SMD:R_0603_HandSoldering",""
"C7","100uF","Capacitors_SMD:C_0603_HandSoldering",""
"C12","100uF","Capacitors_SMD:C_0603_HandSoldering",""
"J2","Aloes_Logo","Aloes:Aloes_mini",""
"J3","OSHW_Logo","Symbols:OSHW-Logo_5.7x6mm_SilkScreen",""
